Ano;Cód.;Município;Produto Interno Bruto a preços correntes (Mil Reais);Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes total (%)
2008;1705508;Colinas do Tocantins (TO);260849;53,45
2008;1705557;Combinado (TO);26227;30,56
2008;1705607;Conceição do Tocantins (TO);20266;23,88
2008;1706001;Couto Magalhães (TO);31367;30,13
2008;1706100;Cristalândia (TO);47377;38,57
2008;1706258;Crixás do Tocantins (TO);12367;18,58
2008;1706506;Darcinópolis (TO);31198;23,41
2008;1707009;Dianópolis (TO);204726;30,97
2008;1707108;Divinópolis do Tocantins (TO);40575;29,45
2008;1707207;Dois Irmãos do Tocantins (TO);35116;14,66
2008;1707306;Dueré (TO);44798;14,71
2008;1707405;Esperantina (TO);31106;16,52
2008;1707553;Fátima (TO);27025;37,43
2008;1707652;Figueirópolis (TO);61761;41,4
2008;1707702;Filadélfia (TO);42241;21,52
2008;1708205;Formoso do Araguaia (TO);162295;24,96
2008;1708254;Tabocão (TO);58118;66,94
2008;1708304;Goianorte (TO);24830;17,27
2008;1709005;Goiatins (TO);61053;13,77
2008;1709302;Guaraí (TO);225890;49,19
2008;1709500;Gurupi (TO);857430;57,94
2008;1709807;Ipueiras (TO);14636;14,5
2008;1710508;Itacajá (TO);33753;24,1
2008;1710706;Itaguatins (TO);23622;16,45
2008;1710904;Itapiratins (TO);27417;14,85
2008;1711100;Itaporã do Tocantins (TO);20926;14,61
2008;1711506;Jaú do Tocantins (TO);23651;19,81
2008;1711803;Juarina (TO);10809;17,83
2008;1711902;Lagoa da Confusão (TO);137973;18,57
2008;1711951;Lagoa do Tocantins (TO);14882;15,93
2008;1712009;Lajeado (TO);21953;20,32
2008;1712157;Lavandeira (TO);20591;11,43
2008;1712405;Lizarda (TO);13485;13,62
2008;1712454;Luzinópolis (TO);17209;24,67
2008;1712504;Marianópolis do Tocantins (TO);28282;20,9
2008;1712702;Mateiros (TO);55986;12,86
2008;1712801;Maurilândia do Tocantins (TO);15004;14,98
2008;1713205;Miracema do Tocantins (TO);420642;12,93
2008;1713304;Miranorte (TO);68479;32,8
2008;1713601;Monte do Carmo (TO);46733;12,87
2008;1713700;Monte Santo do Tocantins (TO);12180;11,33
2008;1713809;Palmeiras do Tocantins (TO);24489;15,23
2008;1713957;Muricilândia (TO);19040;12,67
2008;1714203;Natividade (TO);59939;31,77
2008;1714302;Nazaré (TO);17748;16,97
2008;1714880;Nova Olinda (TO);105223;50,27
2008;1715002;Nova Rosalândia (TO);18450;21,94
2008;1715101;Novo Acordo (TO);17940;17,98
2008;1715150;Novo Alegre (TO);11386;27,02
2008;1715259;Novo Jardim (TO);15920;16,65
2008;1715507;Oliveira de Fátima (TO);8661;19,07
2008;1715705;Palmeirante (TO);39256;11,43
2008;1715754;Palmeirópolis (TO);54982;35,27
2008;1716109;Paraíso do Tocantins (TO);430255;51,32
2008;1716208;Paranã (TO);49489;18,38
2008;1716307;Pau D'Arco (TO);25386;18,71
2008;1716505;Pedro Afonso (TO);140356;42,6
2008;1716604;Peixe (TO);362103;4,18
2008;1716653;Pequizeiro (TO);26948;18,13
2008;1716703;Colméia (TO);53616;35,37
2008;1717008;Pindorama do Tocantins (TO);19824;17,88
2008;1717206;Piraquê (TO);19324;11,48
2008;1717503;Pium (TO);44025;17,18
2008;1717800;Ponte Alta do Bom Jesus (TO);20576;18,14
2008;1717909;Ponte Alta do Tocantins (TO);32085;19,64
2008;1718006;Porto Alegre do Tocantins (TO);13217;18,71
2008;1718204;Porto Nacional (TO);401109;41,69
2008;1718303;Praia Norte (TO);26487;15,61
2008;1718402;Presidente Kennedy (TO);35723;36,16
2008;1718451;Pugmil (TO);24498;49,36
2008;1718501;Recursolândia (TO);16633;15,78
2008;1718550;Riachinho (TO);17494;16,05
2008;1718659;Rio da Conceição (TO);11056;17,45
2008;1718709;Rio dos Bois (TO);24652;16,15
2008;1718758;Rio Sono (TO);24272;15,94
2008;1718808;Sampaio (TO);16739;22,39
2008;1718840;Sandolândia (TO);27050;19,68
2008;1718865;Santa Fé do Araguaia (TO);39459;20,54
2008;1718881;Santa Maria do Tocantins (TO);21169;18,04
2008;1718899;Santa Rita do Tocantins (TO);22505;19,31
2008;1718907;Santa Rosa do Tocantins (TO);30467;15,18
2008;1719004;Santa Tereza do Tocantins (TO);11638;15,77
2008;1720002;Santa Terezinha do Tocantins (TO);11524;15,69
2008;1720101;São Bento do Tocantins (TO);16795;15,72
2008;1720150;São Félix do Tocantins (TO);8104;13,5
2008;1720200;São Miguel do Tocantins (TO);37109;14,19
2008;1720259;São Salvador do Tocantins (TO);45322;18,01
2008;1720309;São Sebastião do Tocantins (TO);16456;18,08
2008;1720499;São Valério (TO);34414;24,46
2008;1720655;Silvanópolis (TO);45654;19,5
2008;1720804;Sítio Novo do Tocantins (TO);35806;24,44
2008;1720853;Sucupira (TO);17953;12,89
2008;1720903;Taguatinga (TO);89836;29,61
2008;1720937;Taipas do Tocantins (TO);10021;14,97
2008;1720978;Talismã (TO);25708;18,68
2008;1721000;Palmas (TO);2770087;53,78
2008;1721109;Tocantínia (TO);25207;21,16
2008;1721208;Tocantinópolis (TO);107123;37,93
2008;1721257;Tupirama (TO);21256;15,57
2008;1721307;Tupiratins (TO);26049;16,61
2008;1722081;Wanderlândia (TO);97617;25,79
2008;1722107;Xambioá (TO);75644;29,08
2008;2100055;Açailândia (MA);1130193;49,09
2008;2100105;Afonso Cunha (MA);13321;20,11
2008;2100154;Água Doce do Maranhão (MA);26688;24,31
2008;2100204;Alcântara (MA);48397;22,21
2008;2100303;Aldeias Altas (MA);63155;22,45
2008;2100402;Altamira do Maranhão (MA);28808;16,75
2008;2100436;Alto Alegre do Maranhão (MA);72529;35,82
2008;2100477;Alto Alegre do Pindaré (MA);95502;21,54
2008;2100501;Alto Parnaíba (MA);104734;19,6
2008;2100550;Amapá do Maranhão (MA);18990;22,66
2008;2100600;Amarante do Maranhão (MA);118469;18,29
2008;2100709;Anajatuba (MA);69075;18,53
2008;2100808;Anapurus (MA);79454;17
2008;2100832;Apicum-Açu (MA);28666;19,54
2008;2100873;Araguanã (MA);25413;14,36
2008;2100907;Araioses (MA);114245;26,32
2008;2100956;Arame (MA);84939;21,63
2008;2101004;Arari (MA);94417;24,89
2008;2101103;Axixá (MA);29210;18,24
2008;2101202;Bacabal (MA);567238;51,61
2008;2101251;Bacabeira (MA);178274;21,45
2008;2101301;Bacuri (MA);35984;23,94
2008;2101350;Bacurituba (MA);12650;19,35
2008;2101400;Balsas (MA);1290209;51,63
2008;2101509;Barão de Grajaú (MA);63083;51,02
2008;2101608;Barra do Corda (MA);298783;42,81
2008;2101707;Barreirinhas (MA);168870;33,99
2008;2101731;Belágua (MA);21327;14,7
2008;2101772;Bela Vista do Maranhão (MA);28820;23,82
2008;2101806;Benedito Leite (MA);19763;17,56
2008;2101905;Bequimão (MA);49853;25,95
2008;2101939;Bernardo do Mearim (MA);21679;20,64
2008;2101970;Boa Vista do Gurupi (MA);21110;28,32
2008;2102002;Bom Jardim (MA);132004;23,99
2008;2102036;Bom Jesus das Selvas (MA);94785;16,67
2008;2102077;Bom Lugar (MA);47825;14,64
